
--- PAGE 1 ---
Top:   46.87 | x0:   44.10 | x1:  132.10 | Text: Account
Top:  266.51 | x0:  504.59 | x1:  529.10 | Text: EPAC
Top:  280.03 | x0:  111.33 | x1:  155.34 | Text: ECOBANK
Top:  280.03 | x0:  157.84 | x1:  182.84 | Text: STEM
Top:  280.03 | x0:  185.35 | x1:  229.84 | Text: ACCOUNT
Top:  280.03 | x0:  232.34 | x1:  273.35 | Text: (SCHOOL
Top:  280.03 | x0:  432.56 | x1:  483.08 | Text: 01-Jun-2025
Top:  280.03 | x0:  485.59 | x1:  496.09 | Text: To
Top:  280.03 | x0:  498.59 | x1:  529.10 | Text: 30-Jun-
Top:  280.34 | x0:   44.10 | x1:   80.10 | Text: Account
Top:  280.34 | x0:  286.65 | x1:  314.66 | Text: Period
Top:  293.56 | x0:  163.84 | x1:  208.34 | Text: ACCOUNT
Top:  293.56 | x0:  210.84 | x1:  250.34 | Text: BUNDLE)
Top:  293.56 | x0:  252.85 | x1:  255.84 | Text: -
Top:  293.56 | x0:  258.35 | x1:  275.85 | Text: LCY
Top:  293.56 | x0:  509.08 | x1:  529.10 | Text: 2025
Top:  294.26 | x0:   44.10 | x1:   68.10 | Text: Type:
Top:  307.88 | x0:  255.85 | x1:  275.85 | Text: NGN
Top:  308.19 | x0:   44.10 | x1:   83.61 | Text: Currency
Top:  324.53 | x0:  223.31 | x1:  275.85 | Text: 4,513,380.72
Top:  324.53 | x0:  471.55 | x1:  529.10 | Text: 14,726,571.85
Top:  324.84 | x0:   44.10 | x1:   80.60 | Text: Opening
Top:  324.84 | x0:  286.65 | x1:  308.15 | Text: Total
Top:  324.84 | x0:  310.65 | x1:  336.15 | Text: Debit:
Top:  338.76 | x0:   44.10 | x1:   81.61 | Text: Balance:
Top:  352.38 | x0:  258.34 | x1:  275.85 | Text: 0.00
Top:  352.38 | x0:  471.55 | x1:  529.10 | Text: 15,367,823.99
Top:  352.68 | x0:   44.10 | x1:   56.10 | Text: Un
Top:  352.68 | x0:   58.60 | x1:   91.61 | Text: Cleared
Top:  352.68 | x0:  286.65 | x1:  308.15 | Text: Total
Top:  352.68 | x0:  310.65 | x1:  339.65 | Text: Credit:
Top:  366.60 | x0:   44.10 | x1:   74.11 | Text: Effects
Top:  380.22 | x0:  223.31 | x1:  275.85 | Text: 5,154,632.86
Top:  380.53 | x0:   44.10 | x1:   77.10 | Text: Closing
Top:  394.45 | x0:   44.10 | x1:   78.62 | Text: Balance
Top:  430.68 | x0:   44.10 | x1:  106.45 | Text: Transaction
Top:  430.68 | x0:  131.15 | x1:  191.66 | Text: Description
Top:  430.68 | x0:  291.60 | x1:  320.95 | Text: Value
Top:  430.68 | x0:  324.01 | x1:  347.84 | Text: Date
Top:  430.68 | x0:  388.30 | x1:  415.80 | Text: Debit
Top:  430.68 | x0:  447.02 | x1:  478.80 | Text: Credit
Top:  430.68 | x0:  504.26 | x1:  546.45 | Text: Balance
Top:  443.77 | x0:   44.10 | x1:   67.94 | Text: Date
Top:  456.70 | x0:   46.60 | x1:   97.13 | Text: 01-Jun-2025
Top:  456.70 | x0:  126.35 | x1:  167.86 | Text: OPENING
Top:  456.70 | x0:  170.36 | x1:  212.37 | Text: BALANCE
Top:  456.70 | x0:  291.60 | x1:  342.13 | Text: 01-Jun-2025
Top:  456.70 | x0:  398.29 | x1:  415.80 | Text: 0.00
Top:  456.70 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  456.70 | x0:  493.91 | x1:  546.45 | Text: 4,513,380.72
Top:  472.80 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  472.80 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530007
Top:  472.80 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  472.80 | x0:  393.28 | x1:  415.80 | Text: 50.00
Top:  472.80 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  472.80 | x0:  493.91 | x1:  546.45 | Text: 4,513,330.72
Top:  488.41 | x0:  126.35 | x1:  252.42 | Text: 25053117P16L:operations,THE
Top:  488.41 | x0:  254.92 | x1:  264.93 | Text: 16
Top:  504.02 | x0:  126.35 | x1:  149.86 | Text: PLUS
Top:  504.02 | x0:  152.36 | x1:  190.37 | Text: SCHOOL
Top:  504.02 | x0:  192.87 | x1:  254.89 | Text: LIMITED,,Local
Top:  519.62 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  519.62 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  519.62 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  519.62 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  519.62 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  519.62 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  535.23 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  535.23 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  535.23 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  535.23 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  550.83 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  550.83 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  550.83 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  550.83 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  550.83 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  566.94 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  566.94 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530007
Top:  566.94 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  566.94 | x0:  370.76 | x1:  415.80 | Text: 500,000.00
Top:  566.94 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  566.94 | x0:  493.91 | x1:  546.45 | Text: 4,013,330.72
Top:  582.55 | x0:  126.35 | x1:  252.42 | Text: 25053117P16L:operations,THE
Top:  582.55 | x0:  254.92 | x1:  264.93 | Text: 16
Top:  598.15 | x0:  126.35 | x1:  149.86 | Text: PLUS
Top:  598.15 | x0:  152.36 | x1:  190.37 | Text: SCHOOL
Top:  598.15 | x0:  192.87 | x1:  254.89 | Text: LIMITED,,Local
Top:  613.76 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  613.76 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  613.76 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  613.76 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  613.76 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  613.76 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  629.36 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  629.36 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  629.36 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  629.36 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  644.97 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  644.97 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  644.97 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  644.97 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  644.97 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  661.08 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  661.08 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530007
Top:  661.08 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  661.08 | x0:  398.29 | x1:  415.80 | Text: 3.75
Top:  661.08 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  661.08 | x0:  493.91 | x1:  546.45 | Text: 4,013,326.97
Top:  676.68 | x0:  126.35 | x1:  252.42 | Text: 25053117P16L:operations,THE
Top:  676.68 | x0:  254.92 | x1:  264.93 | Text: 16
Top:  820.66 | x0:  270.27 | x1:  278.27 | Text: P
Top:  820.66 | x0:  281.27 | x1:  287.94 | Text: a
Top:  820.66 | x0:  290.94 | x1:  297.62 | Text: g
Top:  820.66 | x0:  300.62 | x1:  307.29 | Text: e
Top:  820.66 | x0:  310.62 | x1:  317.30 | Text: 1
Top:  820.66 | x0:  320.63 | x1:  323.75 | Text: |
Top:  820.66 | x0:  327.09 | x1:  340.43 | Text: 10

--- PAGE 2 ---
Top:   46.87 | x0:   44.10 | x1:  132.10 | Text: Account
Top:   46.87 | x0:  138.22 | x1:  244.56 | Text: Statement
Top:  115.03 | x0:  126.35 | x1:  149.86 | Text: PLUS
Top:  115.03 | x0:  152.36 | x1:  190.37 | Text: SCHOOL
Top:  115.03 | x0:  192.87 | x1:  254.89 | Text: LIMITED,,Local
Top:  130.64 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  130.64 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  130.64 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  130.64 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  130.64 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  130.64 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  146.25 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  146.25 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  146.25 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  146.25 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  161.85 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  161.85 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  161.85 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  161.85 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  161.85 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  177.96 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  177.96 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530008
Top:  177.96 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  177.96 | x0:  393.28 | x1:  415.80 | Text: 50.00
Top:  177.96 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  177.96 | x0:  493.91 | x1:  546.45 | Text: 4,013,276.97
Top:  193.56 | x0:  126.35 | x1:  208.39 | Text: 25053117P17U:May
Top:  193.56 | x0:  210.90 | x1:  237.40 | Text: salary,
Top:  209.17 | x0:  126.35 | x1:  179.36 | Text: OKPANACHI
Top:  209.17 | x0:  181.86 | x1:  198.87 | Text: IVIE
Top:  209.17 | x0:  201.37 | x1:  254.90 | Text: EMILY,,Local
Top:  224.78 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  224.78 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  224.78 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  224.78 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  224.78 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  224.78 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  240.38 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  240.38 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  240.38 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  240.38 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  255.99 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  255.99 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  255.99 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  255.99 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  255.99 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  272.09 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  272.09 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530008
Top:  272.09 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  272.09 | x0:  370.76 | x1:  415.80 | Text: 500,000.00
Top:  272.09 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  272.09 | x0:  493.91 | x1:  546.45 | Text: 3,513,276.97
Top:  287.70 | x0:  126.35 | x1:  208.39 | Text: 25053117P17U:May
Top:  287.70 | x0:  210.90 | x1:  237.40 | Text: salary,
Top:  303.31 | x0:  126.35 | x1:  179.36 | Text: OKPANACHI
Top:  303.31 | x0:  181.86 | x1:  198.87 | Text: IVIE
Top:  303.31 | x0:  201.37 | x1:  254.90 | Text: EMILY,,Local
Top:  318.91 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  318.91 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  318.91 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  318.91 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  318.91 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  318.91 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  334.52 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  334.52 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  334.52 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  334.52 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  350.12 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  350.12 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  350.12 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  350.12 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  350.12 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  366.23 | x0:   46.60 | x1:   99.62 | Text: 31-May-2025
Top:  366.23 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251530008
Top:  366.23 | x0:  291.60 | x1:  344.62 | Text: 31-May-2025
Top:  366.23 | x0:  398.29 | x1:  415.80 | Text: 3.75
Top:  366.23 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  366.23 | x0:  493.91 | x1:  546.45 | Text: 3,513,273.22
Top:  381.84 | x0:  126.35 | x1:  208.39 | Text: 25053117P17U:May
Top:  381.84 | x0:  210.90 | x1:  237.40 | Text: salary,
Top:  397.44 | x0:  126.35 | x1:  179.36 | Text: OKPANACHI
Top:  397.44 | x0:  181.86 | x1:  198.87 | Text: IVIE
Top:  397.44 | x0:  201.37 | x1:  254.90 | Text: EMILY,,Local
Top:  413.05 | x0:  126.35 | x1:  164.36 | Text: Transfers
Top:  413.05 | x0:  166.86 | x1:  189.37 | Text: Other
Top:  413.05 | x0:  191.87 | x1:  219.38 | Text: Banks:
Top:  413.05 | x0:  221.88 | x1:  240.38 | Text: TRN
Top:  413.05 | x0:  242.88 | x1:  257.88 | Text: IFO
Top:  413.05 | x0:  260.39 | x1:  275.39 | Text: NIP
Top:  428.65 | x0:  126.35 | x1:  172.84 | Text: OUTWARD
Top:  428.65 | x0:  175.35 | x1:  219.84 | Text: ACCOUNT
Top:  428.65 | x0:  222.34 | x1:  248.84 | Text: -OMNI
Top:  428.65 | x0:  251.34 | x1:  264.35 | Text: BO
Top:  444.26 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  444.26 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  444.26 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  444.26 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  444.26 | x0:  225.88 | x1:  261.39 | Text: LIMITED
Top:  460.37 | x0:   46.60 | x1:   97.13 | Text: 05-Jun-2025
Top:  460.37 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251560003
Top:  460.37 | x0:  291.60 | x1:  342.13 | Text: 05-Jun-2025
Top:  460.37 | x0:  393.28 | x1:  415.80 | Text: 50.00
Top:  460.37 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  460.37 | x0:  493.91 | x1:  546.45 | Text: 3,513,223.22
Top:  475.97 | x0:  126.35 | x1:  207.41 | Text: 250605180758:Staff
Top:  475.97 | x0:  209.91 | x1:  226.92 | Text: loan
Top:  475.97 | x0:  229.43 | x1:  250.43 | Text: Rose
Top:  475.97 | x0:  252.94 | x1:  278.44 | Text: Nwao,
Top:  491.58 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  491.58 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  491.58 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  491.58 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  491.58 | x0:  225.88 | x1:  266.39 | Text: LIMITED,,
Top:  507.18 | x0:  126.35 | x1:  147.86 | Text: Local
Top:  507.18 | x0:  150.36 | x1:  188.37 | Text: Transfers
Top:  507.18 | x0:  190.87 | x1:  213.38 | Text: Other
Top:  507.18 | x0:  215.88 | x1:  243.40 | Text: Banks:
Top:  507.18 | x0:  245.90 | x1:  264.39 | Text: TRN
Top:  522.79 | x0:  126.35 | x1:  141.35 | Text: IFO
Top:  522.79 | x0:  143.85 | x1:  158.86 | Text: NIP
Top:  522.79 | x0:  161.36 | x1:  207.85 | Text: OUTWARD
Top:  522.79 | x0:  210.36 | x1:  254.85 | Text: ACCOUNT
Top:  522.79 | x0:  257.35 | x1:  260.35 | Text: -
Top:  538.40 | x0:  126.35 | x1:  149.85 | Text: OMNI
Top:  538.40 | x0:  152.35 | x1:  165.36 | Text: BO
Top:  538.40 | x0:  167.86 | x1:  185.86 | Text: THE
Top:  538.40 | x0:  188.36 | x1:  198.37 | Text: 16
Top:  538.40 | x0:  200.87 | x1:  224.38 | Text: PLUS
Top:  538.40 | x0:  226.88 | x1:  264.89 | Text: SCHOOL
Top:  554.00 | x0:  126.35 | x1:  161.85 | Text: LIMITED
Top:  570.11 | x0:   46.60 | x1:   97.13 | Text: 05-Jun-2025
Top:  570.11 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251560003
Top:  570.11 | x0:  291.60 | x1:  342.13 | Text: 05-Jun-2025
Top:  570.11 | x0:  375.77 | x1:  415.80 | Text: 70,000.00
Top:  570.11 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  570.11 | x0:  493.91 | x1:  546.45 | Text: 3,443,223.22
Top:  585.71 | x0:  126.35 | x1:  207.41 | Text: 250605180758:Staff
Top:  585.71 | x0:  209.91 | x1:  226.92 | Text: loan
Top:  585.71 | x0:  229.43 | x1:  250.43 | Text: Rose
Top:  585.71 | x0:  252.94 | x1:  278.44 | Text: Nwao,
Top:  601.32 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  601.32 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  601.32 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  601.32 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  601.32 | x0:  225.88 | x1:  266.39 | Text: LIMITED,,
Top:  616.93 | x0:  126.35 | x1:  147.86 | Text: Local
Top:  616.93 | x0:  150.36 | x1:  188.37 | Text: Transfers
Top:  616.93 | x0:  190.87 | x1:  213.38 | Text: Other
Top:  616.93 | x0:  215.88 | x1:  243.40 | Text: Banks:
Top:  616.93 | x0:  245.90 | x1:  264.39 | Text: TRN
Top:  632.53 | x0:  126.35 | x1:  141.35 | Text: IFO
Top:  632.53 | x0:  143.85 | x1:  158.86 | Text: NIP
Top:  632.53 | x0:  161.36 | x1:  207.85 | Text: OUTWARD
Top:  632.53 | x0:  210.36 | x1:  254.85 | Text: ACCOUNT
Top:  632.53 | x0:  257.35 | x1:  260.35 | Text: -
Top:  648.14 | x0:  126.35 | x1:  149.85 | Text: OMNI
Top:  648.14 | x0:  152.35 | x1:  165.36 | Text: BO
Top:  648.14 | x0:  167.86 | x1:  185.86 | Text: THE
Top:  648.14 | x0:  188.36 | x1:  198.37 | Text: 16
Top:  648.14 | x0:  200.87 | x1:  224.38 | Text: PLUS
Top:  648.14 | x0:  226.88 | x1:  264.89 | Text: SCHOOL
Top:  663.74 | x0:  126.35 | x1:  161.85 | Text: LIMITED
Top:  679.85 | x0:   46.60 | x1:   97.13 | Text: 05-Jun-2025
Top:  679.85 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251560003
Top:  679.85 | x0:  291.60 | x1:  342.13 | Text: 05-Jun-2025
Top:  679.85 | x0:  398.29 | x1:  415.80 | Text: 3.75
Top:  679.85 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  679.85 | x0:  493.91 | x1:  546.45 | Text: 3,443,219.47
Top:  820.66 | x0:  270.27 | x1:  278.27 | Text: P
Top:  820.66 | x0:  281.27 | x1:  287.94 | Text: a
Top:  820.66 | x0:  290.94 | x1:  297.62 | Text: g
Top:  820.66 | x0:  300.62 | x1:  307.29 | Text: e
Top:  820.66 | x0:  310.62 | x1:  317.30 | Text: 2
Top:  820.66 | x0:  320.63 | x1:  323.75 | Text: |
Top:  820.66 | x0:  327.09 | x1:  340.43 | Text: 10

--- PAGE 3 ---
Top:   46.87 | x0:   44.10 | x1:  132.10 | Text: Account
Top:   46.87 | x0:  138.22 | x1:  244.56 | Text: Statement
Top:  115.03 | x0:  126.35 | x1:  207.41 | Text: 250605180758:Staff
Top:  115.03 | x0:  209.91 | x1:  226.92 | Text: loan
Top:  115.03 | x0:  229.43 | x1:  250.43 | Text: Rose
Top:  115.03 | x0:  252.94 | x1:  278.44 | Text: Nwao,
Top:  130.64 | x0:  126.35 | x1:  144.35 | Text: THE
Top:  130.64 | x0:  146.85 | x1:  156.86 | Text: 16
Top:  130.64 | x0:  159.36 | x1:  182.87 | Text: PLUS
Top:  130.64 | x0:  185.37 | x1:  223.38 | Text: SCHOOL
Top:  130.64 | x0:  225.88 | x1:  266.39 | Text: LIMITED,,
Top:  146.25 | x0:  126.35 | x1:  147.86 | Text: Local
Top:  146.25 | x0:  150.36 | x1:  188.37 | Text: Transfers
Top:  146.25 | x0:  190.87 | x1:  213.38 | Text: Other
Top:  146.25 | x0:  215.88 | x1:  243.40 | Text: Banks:
Top:  146.25 | x0:  245.90 | x1:  264.39 | Text: TRN
Top:  161.85 | x0:  126.35 | x1:  141.35 | Text: IFO
Top:  161.85 | x0:  143.85 | x1:  158.86 | Text: NIP
Top:  161.85 | x0:  161.36 | x1:  207.85 | Text: OUTWARD
Top:  161.85 | x0:  210.36 | x1:  254.85 | Text: ACCOUNT
Top:  161.85 | x0:  257.35 | x1:  260.35 | Text: -
Top:  177.46 | x0:  126.35 | x1:  149.85 | Text: OMNI
Top:  177.46 | x0:  152.35 | x1:  165.36 | Text: BO
Top:  177.46 | x0:  167.86 | x1:  185.86 | Text: THE
Top:  177.46 | x0:  188.36 | x1:  198.37 | Text: 16
Top:  177.46 | x0:  200.87 | x1:  224.38 | Text: PLUS
Top:  177.46 | x0:  226.88 | x1:  264.89 | Text: SCHOOL
Top:  193.06 | x0:  126.35 | x1:  161.85 | Text: LIMITED
Top:  209.17 | x0:   46.60 | x1:   97.13 | Text: 05-Jun-2025
Top:  209.17 | x0:  126.35 | x1:  237.40 | Text: REFNO:A01chyi251560003
Top:  209.17 | x0:  239.90 | x1:  254.91 | Text: NIP
Top:  209.17 | x0:  291.60 | x1:  342.13 | Text: 05-Jun-2025
Top:  209.17 | x0:  398.29 | x1:  415.80 | Text: 0.00
Top:  209.17 | x0:  433.76 | x1:  478.80 | Text: 500,000.00
Top:  209.17 | x0:  493.91 | x1:  546.45 | Text: 3,943,219.47
Top:  224.78 | x0:  126.35 | x1:  152.85 | Text: FROM
Top:  224.78 | x0:  155.35 | x1:  196.36 | Text: AIGBONA
Top:  224.78 | x0:  198.86 | x1:  243.36 | Text: JOHN/TRF
Top:  240.38 | x0:  126.35 | x1:  186.86 | Text: FRMAIGBONA
Top:  240.38 | x0:  189.36 | x1:  213.86 | Text: JOHN
Top:  240.38 | x0:  216.36 | x1:  246.86 | Text: TOTHE
Top:  240.38 | x0:  249.36 | x1:  259.37 | Text: 16
Top:  255.99 | x0:  126.35 | x1:  149.86 | Text: PLUS
Top:  255.99 | x0:  152.36 | x1:  190.37 | Text: SCHOOL
Top:  255.99 | x0:  192.87 | x1:  228.37 | Text: LIMITED
Top:  255.99 | x0:  230.88 | x1:  242.38 | Text: AT
Top:  255.99 | x0:  244.88 | x1:  264.38 | Text: ECO
Top:  271.59 | x0:  126.35 | x1:  170.36 | Text: ECOBANK
Top:  271.59 | x0:  172.86 | x1:  190.37 | Text: PLC
Top:  287.70 | x0:   46.60 | x1:   97.13 | Text: 06-Jun-2025
Top:  287.70 | x0:  126.35 | x1:  247.90 | Text: REFNO:A01ZSTM2515603G8
Top:  287.70 | x0:  291.60 | x1:  342.13 | Text: 05-Jun-2025
Top:  287.70 | x0:  393.28 | x1:  415.80 | Text: 50.00
Top:  287.70 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  287.70 | x0:  493.91 | x1:  546.45 | Text: 3,943,169.47
Top:  303.31 | x0:  126.35 | x1:  184.35 | Text: ELECTRONIC
Top:  303.31 | x0:  186.86 | x1:  219.86 | Text: MONEY
Top:  303.31 | x0:  222.36 | x1:  270.86 | Text: TRANSFER
Top:  318.91 | x0:  126.35 | x1:  149.36 | Text: LEVY
Top:  335.02 | x0:   46.60 | x1:   97.13 | Text: 07-Jun-2025
Top:  335.02 | x0:  126.35 | x1:  245.40 | Text: REFNO:A01ECTS251610028
Top:  335.02 | x0:  291.60 | x1:  342.13 | Text: 07-Jun-2025
Top:  335.02 | x0:  393.28 | x1:  415.80 | Text: 50.00
Top:  335.02 | x0:  461.29 | x1:  478.80 | Text: 0.00
Top:  335.02 | x0:  493.91 | x1:  546.45 | Text: 3,943,119.47
Top:  350.62 | x0:  126.35 | x1:  255.91 | Text: 250607180ZDZ:Operations,THE
